Make,Model,Year,Engine Size (L),Fuel Type,Price
Toyota,Corolla,2018,1.8,Petrol,15000
Honda,Civic,2019,2.0,Petrol,17000
Ford,Focus,2017,1.5,Diesel,14000
Hyundai,Elantra,2020,2.0,Petrol,18000
Chevrolet,Malibu,2016,2.5,Petrol,13500
Nissan,Sentra,2018,1.8,Petrol,14500
Volkswagen,Passat,2019,2.0,Diesel,19000
Kia,Optima,2017,2.4,Petrol,16000
Mazda,3,2020,2.0,Petrol,17500
Subaru,Impreza,2018,2.0,Petrol,15500
BMW,320i,2019,2.0,Petrol,25000
Mercedes,C200,2017,2.0,Petrol,27000
Audi,A4,2020,2.0,Petrol,30000
Lexus,IS300,2018,2.0,Petrol,32000
Jeep,Compass,2019,2.4,Petrol,22000
Toyota,Camry,2017,2.5,Petrol,16000
Honda,Accord,2020,1.5,Petrol,21000
Ford,Fiesta,2018,1.6,Petrol,12000
Hyundai,Sonata,2019,2.4,Petrol,19500
Chevrolet,Cruze,2017,1.4,Petrol,13000
Nissan,Altima,2020,2.5,Petrol,20000
Volkswagen,Jetta,2018,1.4,Petrol,14500
Kia,Rio,2019,1.6,Petrol,12500
Mazda,6,2017,2.5,Petrol,17000
Subaru,Legacy,2020,2.5,Petrol,21000
BMW,330i,2018,2.0,Petrol,27000
Mercedes,C300,2019,2.0,Petrol,32000
Audi,A3,2017,1.8,Petrol,22000
Lexus,ES350,2020,3.5,Petrol,35000
Jeep,Renegade,2018,1.4,Petrol,18000
Toyota,Yaris,2019,1.5,Petrol,11000
Honda,Fit,2017,1.5,Petrol,10500
Ford,Edge,2020,2.0,Petrol,25000
Hyundai,Tucson,2018,2.0,Petrol,17000
Chevrolet,Equinox,2019,1.5,Petrol,21000
Nissan,Rogue,2017,2.5,Petrol,16000
Volkswagen,Tiguan,2020,2.0,Petrol,23000
Kia,Sportage,2018,2.4,Petrol,18000
Mazda,CX-5,2019,2.5,Petrol,22000
Subaru,Forester,2017,2.5,Petrol,17500
BMW,X1,2020,2.0,Petrol,35000
Mercedes,GLA200,2018,1.6,Petrol,33000
Audi,Q3,2019,2.0,Petrol,34000
Lexus,NX300,2017,2.0,Petrol,37000
Jeep,Wrangler,2020,3.6,Petrol,40000
Toyota,RAV4,2018,2.5,Petrol,21000
Honda,HR-V,2019,1.8,Petrol,19000
Ford,EcoSport,2017,1.5,Petrol,14000
Hyundai,Kona,2020,2.0,Petrol,20000
Chevrolet,Trax,2018,1.4,Petrol,15000
Nissan,Kicks,2019,1.6,Petrol,16000
Volkswagen,T-Cross,2017,1.0,Petrol,17000
Kia,Seltos,2020,1.6,Petrol,21000
Mazda,CX-3,2018,2.0,Petrol,18000
Subaru,XV,2019,2.0,Petrol,20000
BMW,X3,2017,2.0,Petrol,42000
Mercedes,GLC300,2020,2.0,Petrol,45000
Audi,Q5,2018,2.0,Petrol,46000
Lexus,RX350,2019,3.5,Petrol,48000
Jeep,Grand Cherokee,2017,3.6,Petrol,39000
Toyota,Highlander,2020,3.5,Petrol,35000
Honda,Pilot,2018,3.5,Petrol,34000
Ford,Explorer,2019,2.3,Petrol,37000
Hyundai,Santa Fe,2017,2.4,Petrol,32000
Chevrolet,Traverse,2020,3.6,Petrol,36000
Nissan,Pathfinder,2018,3.5,Petrol,33000
Volkswagen,Atlas,2019,3.6,Petrol,38000
Kia,Sorento,2017,2.4,Petrol,31000
Mazda,CX-9,2020,2.5,Petrol,40000
Subaru,Ascent,2018,2.4,Petrol,39000
BMW,X5,2019,3.0,Petrol,60000
Mercedes,GLE350,2017,2.0,Petrol,65000
Audi,Q7,2020,3.0,Petrol,70000
Lexus,GX460,2018,4.6,Petrol,72000
Jeep,Commander,2019,2.0,Petrol,41000
Toyota,Land Cruiser,2017,4.5,Petrol,80000
Honda,CR-V,2020,1.5,Petrol,25000
Ford,Escape,2018,1.5,Petrol,23000
Hyundai,Creta,2019,1.6,Petrol,21000
Chevrolet,Trailblazer,2017,1.2,Petrol,22000
Nissan,Murano,2020,3.5,Petrol,35000
Volkswagen,Polo,2018,1.0,Petrol,12000
Kia,Picanto,2019,1.2,Petrol,11000
Mazda,2,2017,1.5,Petrol,10000
Subaru,BRZ,2020,2.0,Petrol,27000
BMW,Z4,2018,2.0,Petrol,55000
Mercedes,SLK200,2019,2.0,Petrol,60000
Audi,TT,2017,2.0,Petrol,52000
Lexus,LC500,2020,5.0,Petrol,95000
Jeep,Gladiator,2018,3.6,Petrol,45000
Toyota,Fortuner,2019,2.8,Diesel,42000
Honda,WR-V,2017,1.2,Petrol,13000
Ford,Aspire,2020,1.5,Diesel,14000
Hyundai,Venue,2018,1.0,Petrol,16000
Chevrolet,Beat,2019,1.2,Petrol,9000
Nissan,Micra,2017,1.2,Petrol,9500
Volkswagen,Ameo,2020,1.5,Diesel,12000
Kia,Sonet,2018,1.0,Petrol,15000
Mazda,MX-5,2019,2.0,Petrol,30000
Subaru,Outback,2017,2.5,Petrol,32000
BMW,5 Series,2020,2.0,Petrol,70000
Mercedes,E200,2018,2.0,Petrol,72000
Audi,A6,2019,2.0,Petrol,75000
Lexus,LS500,2017,3.5,Petrol,90000
Jeep,Cherokee,2020,2.0,Petrol,35000
Toyota,Innova,2018,2.4,Diesel,25000
Honda,Amaze,2019,1.2,Petrol,12000
Ford,Figo,2017,1.5,Diesel,11000
Hyundai,Grand i10,2020,1.2,Petrol,10000
Chevrolet,Spark,2018,1.0,Petrol,8000
Nissan,Sunny,2019,1.5,Petrol,14000
Volkswagen,Vento,2017,1.6,Petrol,15000
Kia,Carnival,2020,2.2,Diesel,35000
Mazda,CX-30,2018,2.0,Petrol,22000
Subaru,Levorg,2019,1.6,Petrol,25000
BMW,7 Series,2017,3.0,Petrol,100000
Mercedes,S350,2020,3.0,Petrol,110000
Audi,A8,2018,3.0,Petrol,120000
Lexus,ES300h,2019,2.5,Hybrid,55000
Jeep,Patriot,2017,2.4,Petrol,20000
Toyota,Etios,2020,1.5,Petrol,9000
Honda,Brio,2018,1.2,Petrol,8000
